step,loss,lr,tokens_per_sec,mem_gb,entropy
1200,1.1028,2e-05,11477,8.4,1.386
1210,1.0197,2e-05,11168,8.4,1.386
1220,1.0247,2e-05,11477,8.4,1.386
1230,1.0142,2e-05,11490,8.4,1.386
1240,0.9999,2e-05,11468,8.5,1.386
1250,1.0602,2e-05,11468,8.4,1.386
1260,1.0202,2e-05,11489,8.4,1.386
1270,1.0482,2e-05,11233,8.4,1.386
1280,0.9014,2e-05,11476,8.4,1.386
1290,0.891,2e-05,11482,8.4,1.386
1300,1.0364,2e-05,11476,8.4,1.386
1310,1.0609,2e-05,11473,8.4,1.386
1320,1.0154,2e-05,11472,8.4,1.386
1330,1.055,2e-05,11144,8.4,1.386
1340,1.0738,2e-05,11484,8.4,1.386
1350,1.0962,2e-05,11485,8.4,1.386
1360,1.0264,2e-05,11471,8.5,1.386
1370,1.0086,2e-05,11474,8.4,1.386
1380,0.9517,2e-05,11482,8.4,1.386
1390,0.9826,2e-05,11274,8.5,1.386
1400,1.0786,2e-05,11484,8.4,1.386
1410,1.0245,2e-05,11498,8.4,1.386
1420,0.976,1.9e-05,11488,8.4,1.386
1430,1.0139,1.9e-05,11473,8.4,1.386
1440,1.0848,1.9e-05,11493,8.5,1.386
1450,0.9717,1.9e-05,11145,8.4,1.386
1460,1.0464,1.9e-05,11477,8.4,1.386
1470,1.0375,1.9e-05,11476,8.4,1.386
1480,1.0128,1.9e-05,11500,8.4,1.386
1490,1.0382,1.9e-05,11499,8.4,1.386
1500,1.083,1.9e-05,11182,8.4,1.386
1510,1.0282,1.9e-05,11476,8.4,1.386
1520,1.0477,1.9e-05,11498,8.4,1.386
1530,1.0592,1.9e-05,11493,8.4,1.386
1540,1.0255,1.9e-05,11480,8.4,1.386
1550,0.9741,1.9e-05,11478,8.4,1.386
1560,0.9472,1.9e-05,11207,8.4,1.386
1570,1.0262,1.9e-05,11477,8.4,1.386
1580,1.0545,1.9e-05,11472,8.4,1.386
1590,0.9521,1.9e-05,11478,8.4,1.386
1600,1.0121,1.9e-05,11459,8.4,1.386
1610,1.0976,1.9e-05,11471,8.4,1.386
1620,1.0577,1.9e-05,11168,8.4,1.386
1630,1.0828,1.9e-05,11470,8.4,1.386
1640,1.0402,1.9e-05,11477,8.4,1.386
1650,1.0387,1.9e-05,11464,8.4,1.386
1660,1.0223,1.9e-05,11491,8.4,1.386
1670,1.006,1.9e-05,11477,8.4,1.386
1680,1.0944,1.9e-05,11119,8.4,1.386
1690,0.9842,1.9e-05,11488,8.5,1.386
1700,0.9375,1.9e-05,11484,8.4,1.386
1710,1.0467,1.9e-05,11481,8.4,1.386
1720,0.9174,1.9e-05,11493,8.4,1.386
1730,0.9329,1.9e-05,11243,8.4,1.386
1740,0.9989,1.9e-05,11485,8.4,1.386
1750,0.9968,1.9e-05,11477,8.4,1.386
1760,1.0167,1.9e-05,11469,8.4,1.386
1770,0.9359,1.9e-05,11495,8.4,1.386
1780,0.9414,1.9e-05,11508,8.5,1.386
1790,1.0185,1.9e-05,11227,8.4,1.386
1800,1.037,1.9e-05,11523,8.4,1.386
1810,1.0119,1.9e-05,11511,8.4,1.386
1820,0.9582,1.9e-05,11501,8.4,1.386
1830,0.9909,1.9e-05,11494,8.4,1.386
1840,0.9703,1.9e-05,11496,8.4,1.386
1850,0.9468,1.9e-05,11277,8.4,1.386
1860,0.8628,1.9e-05,11497,8.4,1.386
1870,0.9972,1.9e-05,11481,8.4,1.386
1880,0.9778,1.9e-05,11485,8.4,1.386
1890,0.9683,1.9e-05,11495,8.4,1.386
1900,0.9794,1.9e-05,11294,8.4,1.386
1910,0.9421,1.9e-05,11504,8.4,1.386
1920,1.0695,1.9e-05,11477,8.4,1.386
1930,0.943,1.9e-05,11502,8.5,1.386
1940,0.981,1.9e-05,11495,8.4,1.386
1950,0.9384,1.9e-05,11496,8.4,1.386
1960,0.9859,1.9e-05,11284,8.4,1.386
1970,0.9795,1.9e-05,11505,8.4,1.386
1980,1.0457,1.9e-05,11520,8.4,1.386
1990,0.963,1.9e-05,11506,8.4,1.386
2000,0.985,1.9e-05,11501,8.4,1.386
2010,0.9971,1.9e-05,10063,8.4,1.386
2020,1.0311,1.9e-05,11261,8.4,1.386
2030,0.9599,1.9e-05,11507,8.4,1.386
2040,1.0294,1.9e-05,11506,8.4,1.386
2050,0.9835,1.9e-05,11494,8.4,1.386
2060,0.9451,1.9e-05,11480,8.4,1.386
2070,0.9565,1.9e-05,11472,8.4,1.386
2080,0.9863,1.9e-05,11222,8.5,1.386
2090,0.9764,1.9e-05,11482,8.4,1.386
2100,1.0358,1.9e-05,11520,8.4,1.386
2110,0.9327,1.9e-05,11479,8.4,1.386
2120,1.0606,1.9e-05,11504,8.4,1.386
2130,0.9865,1.9e-05,11516,8.4,1.386
2140,1.0146,1.9e-05,11190,8.4,1.386
2150,1.0154,1.9e-05,11519,8.4,1.386
2160,0.9955,1.9e-05,11505,8.4,1.386
2170,0.9804,1.9e-05,11517,8.5,1.386
2180,1.0175,1.9e-05,11507,8.4,1.386
2190,1.0426,1.9e-05,11236,8.5,1.386
2200,0.9641,1.9e-05,11513,8.4,1.386
2210,0.952,1.9e-05,11491,8.4,1.386
2220,1.0137,1.9e-05,11509,8.4,1.386
2230,1.0173,1.9e-05,11501,8.4,1.386
2240,1.0003,1.9e-05,11504,8.5,1.386
2250,0.9399,1.9e-05,11306,8.4,1.386
2260,1.0471,1.9e-05,11517,8.4,1.386
2270,1.0225,1.9e-05,11490,8.4,1.386
2280,0.9226,1.9e-05,11524,8.5,1.386
2290,0.9852,1.9e-05,11523,8.5,1.386
2300,0.9406,1.9e-05,11488,8.4,1.386
2310,0.9978,1.9e-05,11311,8.4,1.386
2320,0.9658,1.9e-05,11507,8.4,1.386
2330,0.9142,1.9e-05,11474,8.4,1.386
2340,0.9656,1.9e-05,11471,8.4,1.386
