step,loss,lr,tau,tokens_per_sec,static_entropy
1140,3.8057,5.7e-05,0.948,11949,1.386
1150,3.875,5.7e-05,0.947,11967,1.386
1160,3.7656,5.8e-05,0.947,11953,1.386
1170,3.8057,5.8e-05,0.946,11954,1.386
1180,3.7705,5.9e-05,0.946,11959,1.386
1190,3.7812,6e-05,0.945,12004,1.386
1200,3.751,6e-05,0.945,11966,1.386
1210,3.8418,6.1e-05,0.944,11954,1.386
1220,3.2803,6.1e-05,0.944,11978,1.386
1230,3.7939,6.2e-05,0.943,11879,1.386
1240,4.1475,6.2e-05,0.943,11763,1.386
1250,4.2725,6.3e-05,0.942,11767,1.386
1260,4.0977,6.3e-05,0.942,11754,1.386
1270,3.5547,6.3e-05,0.942,11877,1.386
1280,3.8926,6.4e-05,0.941,11976,1.386
1290,4.3633,6.5e-05,0.941,11733,1.386
1300,3.8848,6.5e-05,0.94,11756,1.386
1310,4.0967,6.6e-05,0.94,11743,1.386
1320,3.5811,6.6e-05,0.939,11787,1.386
1330,3.9043,6.7e-05,0.939,11876,1.386
1340,3.9658,6.7e-05,0.938,11744,1.386
1350,3.9414,6.8e-05,0.938,11742,1.386
1360,3.834,6.8e-05,0.937,11770,1.386
1370,3.6475,6.9e-05,0.937,11751,1.386
1380,3.9775,6.9e-05,0.936,11749,1.386
1390,3.8857,6.9e-05,0.936,11764,1.386
1400,3.4395,7e-05,0.936,11813,1.386
1410,3.7168,7.1e-05,0.935,11751,1.386
1420,3.7559,7.1e-05,0.935,11770,1.386
1430,3.6748,7.2e-05,0.934,11737,1.386
1440,3.6631,7.2e-05,0.934,11752,1.386
1450,3.5635,7.3e-05,0.933,11746,1.386
1460,3.627,7.3e-05,0.933,11737,1.386
1470,3.5361,7.3e-05,0.932,11860,1.386
1480,3.1797,7.4e-05,0.932,11961,1.386
1490,3.3018,7.5e-05,0.931,11991,1.386
1500,3.3359,7.5e-05,0.931,11940,1.386
1510,3.4248,7.6e-05,0.93,11968,1.386
1520,3.5283,7.6e-05,0.93,11988,1.386
1530,3.3633,7.7e-05,0.93,11973,1.386
1540,3.4639,7.7e-05,0.929,11884,1.386
1550,4.0068,7.7e-05,0.929,11749,1.386
1560,3.8428,7.8e-05,0.928,11733,1.386
1570,3.7363,7.9e-05,0.928,11751,1.386
1580,3.5869,7.9e-05,0.927,11730,1.386
1590,3.46,8e-05,0.927,11964,1.386
1600,3.4795,8e-05,0.926,11912,1.386
1610,3.2207,8.1e-05,0.926,11956,1.386
1620,3.3682,8.1e-05,0.925,11970,1.386
1630,3.2822,8.2e-05,0.925,11975,1.386
1640,3.6133,8.2e-05,0.924,11851,1.386
1650,3.5791,8.2e-05,0.924,11734,1.386
1660,3.2686,8.3e-05,0.924,11748,1.386
1670,3.4668,8.3e-05,0.923,11744,1.386
1680,3.5117,8.4e-05,0.923,11748,1.386
1690,3.5703,8.5e-05,0.922,11765,1.386
1700,3.4502,8.5e-05,0.922,11751,1.386
1710,3.4268,8.6e-05,0.921,11899,1.386
1720,3.5781,8.6e-05,0.921,11736,1.386
1730,3.3916,8.7e-05,0.92,11753,1.386
1740,3.5039,8.7e-05,0.92,11745,1.386
1750,3.4658,8.7e-05,0.919,11768,1.386
1760,3.1777,8.8e-05,0.919,11765,1.386
1770,3.335,8.9e-05,0.918,11749,1.386
1780,3.4424,8.9e-05,0.918,11734,1.386
1790,3.3975,9e-05,0.918,11750,1.386
1800,3.3252,9e-05,0.917,11746,1.386
1810,3.4756,9.1e-05,0.917,11740,1.386
1820,3.3223,9.1e-05,0.916,11733,1.386
1830,3.2422,9.2e-05,0.916,11755,1.386
1840,3.3438,9.2e-05,0.915,11732,1.386
1850,3.1699,9.3e-05,0.915,11703,1.386
1860,3.0186,9.3e-05,0.914,11799,1.386
1870,3.1172,9.4e-05,0.914,11977,1.386
1880,3.665,9.4e-05,0.913,11879,1.386
1890,3.4385,9.4e-05,0.913,11748,1.386
1900,3.2461,9.5e-05,0.912,11753,1.386
1910,3.4346,9.6e-05,0.912,11763,1.386
1920,3.1367,9.6e-05,0.912,11763,1.386
1930,3.4355,9.7e-05,0.911,11741,1.386
1940,3.2432,9.7e-05,0.911,11749,1.386
1950,3.3643,9.7e-05,0.91,11726,1.386
1960,3.2617,9.8e-05,0.91,11751,1.386
1970,3.1045,9.9e-05,0.909,11760,1.386
1980,3.3857,9.9e-05,0.909,11735,1.386
1990,3.54,0.0001,0.908,11742,1.386
2000,3.5049,0.0001,0.908,11757,1.386
2010,3.1074,0.0001,0.907,10659,1.386
2020,3.0996,0.0001,0.907,11838,1.386
2030,2.9736,0.0001,0.907,11968,1.386
2040,3.1855,0.0001,0.906,11943,1.386
2050,2.6621,0.0001,0.906,11951,1.386
2060,3.4033,0.0001,0.905,11817,1.386
2070,3.5576,0.0001,0.905,11734,1.386
2080,3.0225,0.0001,0.904,11808,1.386
2090,2.9912,0.0001,0.904,11933,1.386
2100,3.2148,0.0001,0.903,11852,1.386
2110,3.3711,0.0001,0.903,11735,1.386
2120,3.2783,0.0001,0.902,11801,1.386
2130,3.2266,0.0001,0.902,11785,1.386
2140,3.3184,0.0001,0.901,11764,1.386
2150,3.2012,0.0001,0.901,11743,1.386
2160,3.1641,0.0001,0.901,11728,1.386
2170,2.8213,0.0001,0.9,11891,1.386
2180,3.1875,0.0001,0.9,11943,1.386
2190,2.8184,0.0001,0.899,11980,1.386
2200,2.7783,0.0001,0.899,11962,1.386
2210,3.54,0.0001,0.898,11870,1.386
2220,3.082,0.0001,0.898,11738,1.386
2230,3.0127,0.0001,0.897,11716,1.386
2240,3.3633,0.0001,0.897,11729,1.386
2250,3.1494,0.0001,0.896,11724,1.386
2260,2.8936,0.0001,0.896,11771,1.386
2270,3.0547,0.0001,0.895,11891,1.386
2280,3.377,0.0001,0.895,11738,1.386
2290,3.0947,0.0001,0.895,11753,1.386
2300,3.2061,0.0001,0.894,11743,1.386
2310,3.0254,0.0001,0.894,11749,1.386
2320,3.1318,0.0001,0.893,11775,1.386
2330,3.3623,0.0001,0.893,11730,1.386
2340,3.1094,0.0001,0.892,11733,1.386
2350,3.3115,0.0001,0.892,11728,1.386
2360,2.9941,0.0001,0.891,11714,1.386
2370,3.2783,0.0001,0.891,11717,1.386
2380,2.9443,0.0001,0.89,11744,1.386
2390,3.3701,0.0001,0.89,11733,1.386
2400,3.1396,0.0001,0.889,11934,1.386
2410,2.9697,0.0001,0.889,11977,1.386
2420,2.9297,0.0001,0.889,11950,1.386
2430,3.0293,0.0001,0.888,11727,1.386
2440,2.9043,0.0001,0.888,11930,1.386
2450,2.8271,0.0001,0.887,11940,1.386
2460,3.5068,0.0001,0.887,11749,1.386
2470,2.9434,0.0001,0.886,11739,1.386
2480,3.1436,0.0001,0.886,11738,1.386
2490,3.1973,0.0001,0.885,11740,1.386
2500,2.752,0.0001,0.885,11892,1.386
2510,2.8545,0.0001,0.884,11929,1.386
2520,3.0449,0.0001,0.884,11961,1.386
2530,2.835,0.0001,0.883,11924,1.386
2540,2.7129,0.0001,0.883,11950,1.386
2550,2.6826,0.0001,0.883,11960,1.386
2560,2.8672,0.0001,0.882,11901,1.386
2570,2.7559,0.0001,0.882,11720,1.386
2580,2.6562,0.0001,0.881,11738,1.386
2590,3.001,0.0001,0.881,11724,1.386
2600,2.8535,0.0001,0.88,11730,1.386
2610,2.8994,0.0001,0.88,11820,1.386
2620,2.792,0.0001,0.879,11941,1.386
2630,2.7217,0.0001,0.879,11947,1.386
2640,2.9287,0.0001,0.878,11737,1.386
2650,2.8613,0.0001,0.878,11745,1.386
2660,3.3672,0.0001,0.877,11737,1.386
2670,3.2266,0.0001,0.877,11728,1.386
2680,2.6768,0.0001,0.877,11798,1.386
2690,2.8135,0.0001,0.876,11915,1.386
2700,3.001,0.0001,0.876,11976,1.386
2710,2.7764,0.0001,0.875,11952,1.386
2720,2.9375,0.0001,0.875,11918,1.386
2730,3.2432,0.0001,0.874,11794,1.386
2740,3.0762,0.0001,0.874,11751,1.386
2750,2.9902,0.0001,0.873,11750,1.386
2760,2.8613,0.0001,0.873,11935,1.386
2770,2.9971,0.0001,0.872,11912,1.386
2780,3.1289,0.0001,0.872,11713,1.386
2790,2.6416,9.9e-05,0.871,11853,1.386
2800,2.9209,9.9e-05,0.871,11952,1.386
2810,3.0898,9.9e-05,0.871,11782,1.386
2820,2.8242,9.9e-05,0.87,11820,1.386
2830,2.7217,9.9e-05,0.87,11751,1.386
2840,2.6826,9.9e-05,0.869,11925,1.386
2850,2.6372,9.9e-05,0.869,11972,1.386
2860,2.6812,9.9e-05,0.868,11952,1.386
2870,2.583,9.9e-05,0.868,11903,1.386
2880,2.7207,9.9e-05,0.867,11948,1.386
2890,2.9492,9.9e-05,0.867,11932,1.386
2900,2.6221,9.9e-05,0.866,11947,1.386
2910,2.8086,9.9e-05,0.866,11885,1.386
2920,2.7529,9.9e-05,0.865,11758,1.386
2930,2.8457,9.9e-05,0.865,11741,1.386
2940,3.0566,9.9e-05,0.865,11750,1.386
2950,2.7383,9.9e-05,0.864,11762,1.386
2960,3.3867,9.9e-05,0.864,11727,1.386
2970,2.9229,9.9e-05,0.863,11901,1.386
2980,2.8096,9.9e-05,0.863,11909,1.386
2990,2.8672,9.9e-05,0.862,11938,1.386
3000,2.7461,9.9e-05,0.862,11755,1.386
3010,2.8877,9.9e-05,0.861,10552,1.386
3020,2.5078,9.9e-05,0.861,11778,1.386
3030,2.584,9.9e-05,0.86,11964,1.386
3040,2.6318,9.9e-05,0.86,11968,1.386
3050,2.7764,9.9e-05,0.86,11973,1.386
3060,2.5791,9.9e-05,0.859,11977,1.386
3070,2.7549,9.9e-05,0.859,11903,1.386
3080,2.709,9.9e-05,0.858,11758,1.386
3090,2.8936,9.9e-05,0.858,11743,1.386
3100,2.8145,9.9e-05,0.857,11747,1.386
3110,2.6807,9.9e-05,0.857,11817,1.386
3120,3.041,9.9e-05,0.856,11875,1.386
3130,3.0117,9.9e-05,0.856,11734,1.386
3140,2.7061,9.9e-05,0.855,11738,1.386
3150,2.8623,9.9e-05,0.855,11931,1.386
3160,2.4482,9.9e-05,0.854,11943,1.386
3170,2.7314,9.9e-05,0.854,11954,1.386
3180,2.7354,9.9e-05,0.854,11964,1.386
3190,2.2559,9.9e-05,0.853,11942,1.386
3200,2.7822,9.9e-05,0.853,11937,1.386
3210,2.8086,9.9e-05,0.852,11950,1.386
3220,2.8145,9.9e-05,0.852,11841,1.386
3230,2.8086,9.9e-05,0.851,11740,1.386
3240,2.8496,9.9e-05,0.851,11768,1.386
3250,2.4805,9.9e-05,0.85,11960,1.386
3260,2.5898,9.9e-05,0.85,11951,1.386
3270,2.6592,9.9e-05,0.849,11950,1.386
3280,2.6729,9.9e-05,0.849,11917,1.386
3290,2.9482,9.9e-05,0.848,11966,1.386
3300,2.8701,9.9e-05,0.848,11743,1.386
3310,2.7568,9.9e-05,0.848,11750,1.386
3320,2.6875,9.9e-05,0.847,11755,1.386
3330,2.4424,9.9e-05,0.847,11754,1.386
3340,2.6436,9.9e-05,0.846,11741,1.386
3350,2.4697,9.9e-05,0.846,11867,1.386
3360,2.6758,9.9e-05,0.845,11952,1.386
3370,2.834,9.9e-05,0.845,11914,1.386
3380,2.8311,9.8e-05,0.844,11746,1.386
3390,2.8975,9.8e-05,0.844,11716,1.386
3400,2.6826,9.8e-05,0.843,11877,1.386
3410,2.7148,9.8e-05,0.843,11955,1.386
3420,2.7832,9.8e-05,0.842,11752,1.386
3430,2.6387,9.8e-05,0.842,11763,1.386
3440,2.7939,9.8e-05,0.842,11735,1.386
3450,2.6504,9.8e-05,0.841,11740,1.386
3460,2.8623,9.8e-05,0.841,11739,1.386
3470,2.7402,9.8e-05,0.84,11749,1.386
3480,2.6533,9.8e-05,0.84,11777,1.386
3490,2.6025,9.8e-05,0.839,11941,1.386
3500,2.7144,9.8e-05,0.839,11944,1.386
3510,2.7202,9.8e-05,0.838,11954,1.386
3520,2.6777,9.8e-05,0.838,11940,1.386
3530,2.6416,9.8e-05,0.837,11929,1.386
3540,2.5547,9.8e-05,0.837,11946,1.386
3550,2.4502,9.8e-05,0.836,11935,1.386
3560,2.5957,9.8e-05,0.836,11962,1.386
3570,2.5493,9.8e-05,0.836,11781,1.386
3580,2.7227,9.8e-05,0.835,11758,1.386
3590,2.6738,9.8e-05,0.835,11767,1.386
3600,2.5757,9.8e-05,0.834,11773,1.386
3610,2.7275,9.8e-05,0.834,11783,1.386
3620,2.5879,9.8e-05,0.833,11944,1.386
3630,2.4971,9.8e-05,0.833,11785,1.386
3640,2.999,9.8e-05,0.832,11777,1.386
3650,2.7207,9.8e-05,0.832,11759,1.386
3660,2.5469,9.8e-05,0.831,11778,1.386
3670,2.5225,9.8e-05,0.831,11756,1.386
3680,3.0117,9.8e-05,0.83,11754,1.386
3690,2.8301,9.8e-05,0.83,11737,1.386
3700,2.6484,9.8e-05,0.83,11762,1.386
3710,2.5039,9.8e-05,0.829,11768,1.386
3720,2.7119,9.8e-05,0.829,11778,1.386
3730,2.5801,9.8e-05,0.828,11917,1.386
3740,2.5518,9.8e-05,0.828,11884,1.386
3750,2.749,9.8e-05,0.827,11777,1.386
3760,2.5342,9.8e-05,0.827,11804,1.386
3770,2.5,9.8e-05,0.826,11772,1.386
3780,2.6914,9.7e-05,0.826,11821,1.386
3790,2.8369,9.7e-05,0.825,11993,1.386
3800,2.7578,9.7e-05,0.825,11861,1.386
3810,2.7744,9.7e-05,0.824,11752,1.386
3820,2.3613,9.7e-05,0.824,11761,1.386
3830,2.6143,9.7e-05,0.824,11748,1.386
3840,2.5801,9.7e-05,0.823,11769,1.386
3850,2.6406,9.7e-05,0.823,11758,1.386
3860,2.6641,9.7e-05,0.822,11764,1.386
3870,2.4775,9.7e-05,0.822,11757,1.386
3880,2.6758,9.7e-05,0.821,11776,1.386
3890,2.5537,9.7e-05,0.821,11760,1.386
3900,2.5166,9.7e-05,0.82,11766,1.386
3910,2.457,9.7e-05,0.82,11846,1.386
3920,2.6777,9.7e-05,0.819,11959,1.386
3930,2.6172,9.7e-05,0.819,11938,1.386
3940,2.5645,9.7e-05,0.818,11776,1.386
3950,2.4106,9.7e-05,0.818,11773,1.386
3960,2.5225,9.7e-05,0.818,11744,1.386
3970,3.0771,9.7e-05,0.817,11759,1.386
3980,2.7559,9.7e-05,0.817,11760,1.386
3990,2.6431,9.7e-05,0.816,11880,1.386
4000,2.6025,9.7e-05,0.816,11746,1.386
4010,2.5005,9.7e-05,0.815,10862,1.386
4020,2.5869,9.7e-05,0.815,11738,1.386
4030,2.6846,9.7e-05,0.814,11764,1.386
4040,2.6035,9.7e-05,0.814,11764,1.386
4050,2.4746,9.7e-05,0.813,11763,1.386
4060,2.9453,9.7e-05,0.813,11749,1.386
4070,2.668,9.7e-05,0.812,11755,1.386
4080,2.5781,9.7e-05,0.812,11741,1.386
4090,2.6289,9.7e-05,0.812,11743,1.386
4100,2.8511,9.7e-05,0.811,11730,1.386
4110,2.4824,9.6e-05,0.811,11873,1.386
4120,2.4976,9.6e-05,0.81,11951,1.386
4130,2.4639,9.6e-05,0.81,11961,1.386
4140,2.1567,9.6e-05,0.809,11977,1.386
4150,2.5303,9.6e-05,0.809,11818,1.386
4160,2.7324,9.6e-05,0.808,11745,1.386
4170,2.4482,9.6e-05,0.808,11748,1.386
4180,2.4355,9.6e-05,0.807,11733,1.386
4190,2.3599,9.6e-05,0.807,11720,1.386
4200,2.3188,9.6e-05,0.807,11875,1.386
4210,2.4219,9.6e-05,0.806,11975,1.386
4220,2.6157,9.6e-05,0.806,11801,1.386
4230,2.4731,9.6e-05,0.805,11772,1.386
4240,2.4248,9.6e-05,0.805,11969,1.386
4250,2.4927,9.6e-05,0.804,11942,1.386
4260,2.6006,9.6e-05,0.804,11875,1.386
4270,2.708,9.6e-05,0.803,11761,1.386
4280,2.542,9.6e-05,0.803,11755,1.386
4290,2.5029,9.6e-05,0.802,11916,1.386
4300,2.5308,9.6e-05,0.802,11972,1.386
4310,2.3994,9.6e-05,0.801,11940,1.386
4320,2.4639,9.6e-05,0.801,11773,1.386
4330,2.3936,9.6e-05,0.801,11947,1.386
4340,2.4482,9.6e-05,0.8,11944,1.386
4350,2.5459,9.6e-05,0.8,11945,1.386
4360,2.4663,9.6e-05,0.799,11846,1.386
4370,2.4619,9.6e-05,0.799,11736,1.386
4380,2.4746,9.6e-05,0.798,11724,1.386
4390,2.4854,9.5e-05,0.798,11746,1.386
4400,2.4448,9.5e-05,0.797,11868,1.386
4410,2.4595,9.5e-05,0.797,11939,1.386
4420,2.5898,9.5e-05,0.796,11933,1.386
4430,2.4805,9.5e-05,0.796,11730,1.386
4440,2.73,9.5e-05,0.795,11753,1.386
4450,2.4893,9.5e-05,0.795,11744,1.386
4460,2.3281,9.5e-05,0.795,11742,1.386
4470,2.6064,9.5e-05,0.794,11719,1.386
4480,2.5547,9.5e-05,0.794,11711,1.386
4490,2.5146,9.5e-05,0.793,11742,1.386
